STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TAVG,TMAX,TMIN,AWND,WT01,WT06,WT02,WT04,WT08
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160428,0.00,0.0,0.0,-9999,59,48,4.7,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160429,0.05,0.0,0.0,-9999,58,45,5.8,1,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160430,0.00,0.0,0.0,-9999,65,46,5.8,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160501,0.16,0.0,0.0,-9999,51,45,4.9,1,-9999,-9999,-9999,1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160502,0.04,0.0,0.0,-9999,60,45,2.2,1,-9999,-9999,-9999,1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160503,0.61,0.0,0.0,-9999,56,51,6.0,1,-9999,-9999,-9999,1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160504,0.01,0.0,0.0,-9999,52,48,8.7,1,-9999,-9999,-9999,1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160505,0.00,0.0,0.0,-9999,57,46,8.3,1,-9999,-9999,-9999,1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160506,0.54,0.0,0.0,-9999,54,48,7.8,1,-9999,-9999,-9999,1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160507,0.00,0.0,0.0,-9999,60,48,4.5,1,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160508,0.16,0.0,0.0,-9999,66,49,4.7,1,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160509,0.00,0.0,0.0,-9999,72,52,5.1,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160510,0.00,0.0,0.0,-9999,63,50,4.9,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160511,0.00,0.0,0.0,-9999,76,50,2.5,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160512,0.00,0.0,0.0,-9999,80,56,3.4,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160513,0.25,0.0,0.0,-9999,65,57,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160514,0.00,0.0,0.0,-9999,73,56,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160515,0.00,0.0,0.0,-9999,59,46,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160516,0.00,0.0,0.0,-9999,66,43,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160517,0.00,0.0,0.0,-9999,64,52,3.8,-9999,-9999,-9999,-9999,-9999
